ticket_id,application_id,channel,issue_category,resolution_time_mins,cost_to_serve_usd
TCK-4000031,APP-1000142,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,41,12.0
TCK-4000032,APP-1000145,Phone_IVR,Status_Inquiry_WhereIsMyAccount,31,18.0
TCK-4000033,APP-1000153,Phone_IVR,Status_Inquiry_WhereIsMyAccount,12,18.0
TCK-4000034,APP-1000160,Phone_IVR,Status_Inquiry_WhereIsMyAccount,22,18.0
TCK-4000035,APP-1000161,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,6,12.0
TCK-4000036,APP-1000162,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000037,APP-1000173,Phone_IVR,General_Clarification,37,18.0
TCK-4000038,APP-1000174,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000039,APP-1000177,In_App_Chat,Status_Inquiry_WhereIsMyAccount,44,8.5
TCK-4000040,APP-1000181,In_App_Chat,Document_Upload_Failure,15,8.5
TCK-4000041,APP-1000188,In_App_Chat,Status_Inquiry_WhereIsMyAccount,9,8.5
TCK-4000042,APP-1000189,In_App_Chat,Status_Inquiry_WhereIsMyAccount,11,8.5
TCK-4000043,APP-1000199,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000044,APP-1000200,In_App_Chat,Document_Upload_Failure,13,8.5
TCK-4000045,APP-1000201,Phone_IVR,Status_Inquiry_WhereIsMyAccount,7,18.0
TCK-4000046,APP-1000216,Phone_IVR,General_Clarification,17,18.0
TCK-4000047,APP-1000219,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,27,12.0
TCK-4000048,APP-1000222,Phone_IVR,Status_Inquiry_WhereIsMyAccount,21,18.0
TCK-4000049,APP-1000225,Phone_IVR,Status_Inquiry_WhereIsMyAccount,34,18.0
TCK-4000050,APP-1000230,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,32,12.0
TCK-4000051,APP-1000231,Phone_IVR,Status_Inquiry_WhereIsMyAccount,38,18.0
TCK-4000052,APP-1000238,Phone_IVR,Status_Inquiry_WhereIsMyAccount,31,18.0
TCK-4000053,APP-1000242,Phone_IVR,Document_Upload_Failure,9,18.0
TCK-4000054,APP-1000247,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000055,APP-1000248,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,12,12.0
TCK-4000056,APP-1000255,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000057,APP-1000266,Phone_IVR,Status_Inquiry_WhereIsMyAccount,41,18.0
TCK-4000058,APP-1000270,In_App_Chat,Status_Inquiry_WhereIsMyAccount,14,8.5
TCK-4000059,APP-1000271,Phone_IVR,Status_Inquiry_WhereIsMyAccount,27,18.0
TCK-4000060,APP-1000278,In_App_Chat,Status_Inquiry_WhereIsMyAccount,28,8.5
TCK-4000061,APP-1000280,Phone_IVR,Status_Inquiry_WhereIsMyAccount,15,18.0
TCK-4000062,APP-1000287,Phone_IVR,Status_Inquiry_WhereIsMyAccount,18,18.0
TCK-4000063,APP-1000289,In_App_Chat,Status_Inquiry_WhereIsMyAccount,40,8.5
TCK-4000064,APP-1000290,In_App_Chat,Status_Inquiry_WhereIsMyAccount,26,8.5
TCK-4000065,APP-1000299,In_App_Chat,General_Clarification,34,8.5
TCK-4000066,APP-1000309,Phone_IVR,General_Clarification,37,18.0
TCK-4000067,APP-1000317,Phone_IVR,Status_Inquiry_WhereIsMyAccount,33,18.0
TCK-4000068,APP-1000322,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000069,APP-1000328,In_App_Chat,General_Clarification,19,8.5
TCK-4000070,APP-1000333,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000071,APP-1000336,In_App_Chat,Status_Inquiry_WhereIsMyAccount,44,8.5
TCK-4000072,APP-1000340,Phone_IVR,General_Clarification,17,18.0
TCK-4000073,APP-1000341,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000074,APP-1000342,Phone_IVR,Status_Inquiry_WhereIsMyAccount,27,18.0
TCK-4000075,APP-1000344,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,27,12.0
TCK-4000076,APP-1000350,Phone_IVR,Status_Inquiry_WhereIsMyAccount,21,18.0
TCK-4000077,APP-1000352,In_App_Chat,Status_Inquiry_WhereIsMyAccount,5,8.5
TCK-4000078,APP-1000353,In_App_Chat,Status_Inquiry_WhereIsMyAccount,12,8.5
TCK-4000079,APP-1000359,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000080,APP-1000360,Phone_IVR,Status_Inquiry_WhereIsMyAccount,28,18.0
TCK-4000081,APP-1000367,In_App_Chat,Status_Inquiry_WhereIsMyAccount,26,8.5
TCK-4000082,APP-1000372,In_App_Chat,Status_Inquiry_WhereIsMyAccount,36,8.5
TCK-4000083,APP-1000374,Phone_IVR,General_Clarification,44,18.0
TCK-4000084,APP-1000375,Phone_IVR,Status_Inquiry_WhereIsMyAccount,26,18.0
TCK-4000085,APP-1000381,In_App_Chat,Status_Inquiry_WhereIsMyAccount,37,8.5
TCK-4000086,APP-1000394,In_App_Chat,Status_Inquiry_WhereIsMyAccount,32,8.5
TCK-4000087,APP-1000396,In_App_Chat,Document_Upload_Failure,38,8.5
TCK-4000088,APP-1000397,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,23,12.0
TCK-4000089,APP-1000405,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000090,APP-1000414,In_App_Chat,General_Clarification,25,8.5
TCK-4000091,APP-1000415,Phone_IVR,General_Clarification,6,18.0
TCK-4000092,APP-1000416,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000093,APP-1000418,In_App_Chat,Status_Inquiry_WhereIsMyAccount,39,8.5
TCK-4000094,APP-1000419,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000095,APP-1000425,In_App_Chat,Status_Inquiry_WhereIsMyAccount,28,8.5
TCK-4000096,APP-1000427,Phone_IVR,Status_Inquiry_WhereIsMyAccount,27,18.0
TCK-4000097,APP-1000431,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,43,12.0
TCK-4000098,APP-1000432,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,13,12.0
TCK-4000099,APP-1000438,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000100,APP-1000445,Phone_IVR,Status_Inquiry_WhereIsMyAccount,19,18.0
TCK-4000101,APP-1000446,Phone_IVR,Status_Inquiry_WhereIsMyAccount,38,18.0
TCK-4000102,APP-1000451,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000103,APP-1000462,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,13,12.0
TCK-4000104,APP-1000467,In_App_Chat,Document_Upload_Failure,16,8.5
TCK-4000105,APP-1000468,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000106,APP-1000469,In_App_Chat,Status_Inquiry_WhereIsMyAccount,11,8.5
TCK-4000107,APP-1000471,In_App_Chat,Status_Inquiry_WhereIsMyAccount,34,8.5
TCK-4000108,APP-1000476,Phone_IVR,Status_Inquiry_WhereIsMyAccount,36,18.0
TCK-4000109,APP-1000482,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000110,APP-1000488,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,6,12.0
TCK-4000111,APP-1000490,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000112,APP-1000491,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,10,12.0
TCK-4000113,APP-1000493,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000114,APP-1000495,In_App_Chat,Status_Inquiry_WhereIsMyAccount,41,8.5
TCK-4000115,APP-1000501,In_App_Chat,Document_Upload_Failure,19,8.5
TCK-4000116,APP-1000503,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,14,12.0
TCK-4000117,APP-1000512,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,40,12.0
TCK-4000118,APP-1000517,Phone_IVR,Status_Inquiry_WhereIsMyAccount,9,18.0
TCK-4000119,APP-1000520,Phone_IVR,Status_Inquiry_WhereIsMyAccount,31,18.0
TCK-4000120,APP-1000523,In_App_Chat,Status_Inquiry_WhereIsMyAccount,32,8.5
TCK-4000121,APP-1000527,Phone_IVR,Status_Inquiry_WhereIsMyAccount,36,18.0
TCK-4000122,APP-1000528,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000123,APP-1000530,Phone_IVR,Status_Inquiry_WhereIsMyAccount,28,18.0
TCK-4000124,APP-1000532,Phone_IVR,General_Clarification,36,18.0
TCK-4000125,APP-1000536,In_App_Chat,Document_Upload_Failure,7,8.5
TCK-4000126,APP-1000548,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,11,12.0
TCK-4000127,APP-1000550,Phone_IVR,Status_Inquiry_WhereIsMyAccount,43,18.0
TCK-4000128,APP-1000552,In_App_Chat,Status_Inquiry_WhereIsMyAccount,20,8.5
TCK-4000129,APP-1000556,Phone_IVR,Status_Inquiry_WhereIsMyAccount,21,18.0
TCK-4000130,APP-1000560,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,21,12.0
TCK-4000131,APP-1000562,Phone_IVR,Status_Inquiry_WhereIsMyAccount,35,18.0
TCK-4000132,APP-1000565,In_App_Chat,Document_Upload_Failure,6,8.5
TCK-4000133,APP-1000576,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000134,APP-1000581,In_App_Chat,Status_Inquiry_WhereIsMyAccount,41,8.5
TCK-4000135,APP-1000582,Phone_IVR,Status_Inquiry_WhereIsMyAccount,25,18.0
TCK-4000136,APP-1000583,Phone_IVR,Status_Inquiry_WhereIsMyAccount,16,18.0
TCK-4000137,APP-1000589,Phone_IVR,Status_Inquiry_WhereIsMyAccount,10,18.0
TCK-4000138,APP-1000594,Phone_IVR,Status_Inquiry_WhereIsMyAccount,42,18.0
TCK-4000139,APP-1000607,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,22,12.0
TCK-4000140,APP-1000610,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000141,APP-1000612,In_App_Chat,General_Clarification,27,8.5
TCK-4000142,APP-1000622,Phone_IVR,Status_Inquiry_WhereIsMyAccount,36,18.0
TCK-4000143,APP-1000625,Email_Helpdesk,Document_Upload_Failure,20,12.0
TCK-4000144,APP-1000627,In_App_Chat,Document_Upload_Failure,37,8.5
TCK-4000145,APP-1000630,Phone_IVR,Status_Inquiry_WhereIsMyAccount,28,18.0
TCK-4000146,APP-1000632,In_App_Chat,Status_Inquiry_WhereIsMyAccount,8,8.5
TCK-4000147,APP-1000636,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,9,12.0
TCK-4000148,APP-1000640,Phone_IVR,Document_Upload_Failure,17,18.0
TCK-4000149,APP-1000642,In_App_Chat,Status_Inquiry_WhereIsMyAccount,9,8.5
TCK-4000150,APP-1000645,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000151,APP-1000646,Phone_IVR,Status_Inquiry_WhereIsMyAccount,39,18.0
TCK-4000152,APP-1000647,In_App_Chat,Status_Inquiry_WhereIsMyAccount,17,8.5
TCK-4000153,APP-1000648,In_App_Chat,Status_Inquiry_WhereIsMyAccount,37,8.5
TCK-4000154,APP-1000655,Phone_IVR,Status_Inquiry_WhereIsMyAccount,34,18.0
TCK-4000155,APP-1000661,In_App_Chat,Status_Inquiry_WhereIsMyAccount,19,8.5
TCK-4000156,APP-1000670,Phone_IVR,General_Clarification,40,18.0
TCK-4000157,APP-1000671,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,42,12.0
TCK-4000158,APP-1000673,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,24,12.0
TCK-4000159,APP-1000678,In_App_Chat,Status_Inquiry_WhereIsMyAccount,32,8.5
TCK-4000160,APP-1000681,Phone_IVR,General_Clarification,14,18.0
TCK-4000161,APP-1000695,In_App_Chat,Status_Inquiry_WhereIsMyAccount,32,8.5
TCK-4000162,APP-1000700,Phone_IVR,Document_Upload_Failure,32,18.0
TCK-4000163,APP-1000705,Phone_IVR,Status_Inquiry_WhereIsMyAccount,20,18.0
TCK-4000164,APP-1000707,In_App_Chat,Status_Inquiry_WhereIsMyAccount,35,8.5
TCK-4000165,APP-1000718,Phone_IVR,Status_Inquiry_WhereIsMyAccount,30,18.0
TCK-4000166,APP-1000720,In_App_Chat,Status_Inquiry_WhereIsMyAccount,44,8.5
TCK-4000167,APP-1000724,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000168,APP-1000736,Phone_IVR,Status_Inquiry_WhereIsMyAccount,5,18.0
TCK-4000169,APP-1000739,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000170,APP-1000746,In_App_Chat,Status_Inquiry_WhereIsMyAccount,12,8.5
TCK-4000171,APP-1000748,Phone_IVR,Status_Inquiry_WhereIsMyAccount,12,18.0
TCK-4000172,APP-1000754,In_App_Chat,Status_Inquiry_WhereIsMyAccount,37,8.5
TCK-4000173,APP-1000755,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,35,12.0
TCK-4000174,APP-1000756,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,41,12.0
TCK-4000175,APP-1000769,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000176,APP-1000775,In_App_Chat,General_Clarification,21,8.5
TCK-4000177,APP-1000776,In_App_Chat,Status_Inquiry_WhereIsMyAccount,44,8.5
TCK-4000178,APP-1000778,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,37,12.0
TCK-4000179,APP-1000781,In_App_Chat,General_Clarification,12,8.5
TCK-4000180,APP-1000798,Phone_IVR,Status_Inquiry_WhereIsMyAccount,36,18.0
TCK-4000181,APP-1000799,Phone_IVR,Status_Inquiry_WhereIsMyAccount,29,18.0
TCK-4000182,APP-1000800,In_App_Chat,General_Clarification,12,8.5
TCK-4000183,APP-1000801,In_App_Chat,Document_Upload_Failure,40,8.5
TCK-4000184,APP-1000805,Email_Helpdesk,General_Clarification,15,12.0
TCK-4000185,APP-1000812,Email_Helpdesk,Document_Upload_Failure,12,12.0
TCK-4000186,APP-1000813,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000187,APP-1000817,Phone_IVR,Status_Inquiry_WhereIsMyAccount,42,18.0
TCK-4000188,APP-1000822,Phone_IVR,Status_Inquiry_WhereIsMyAccount,39,18.0
TCK-4000189,APP-1000823,Phone_IVR,Status_Inquiry_WhereIsMyAccount,42,18.0
TCK-4000190,APP-1000824,In_App_Chat,Status_Inquiry_WhereIsMyAccount,27,8.5
TCK-4000191,APP-1000825,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,29,12.0
TCK-4000192,APP-1000838,In_App_Chat,Status_Inquiry_WhereIsMyAccount,36,8.5
TCK-4000193,APP-1000839,In_App_Chat,Status_Inquiry_WhereIsMyAccount,13,8.5
TCK-4000194,APP-1000847,In_App_Chat,Status_Inquiry_WhereIsMyAccount,15,8.5
TCK-4000195,APP-1000853,In_App_Chat,Status_Inquiry_WhereIsMyAccount,34,8.5
TCK-4000196,APP-1000854,Email_Helpdesk,Document_Upload_Failure,6,12.0
TCK-4000197,APP-1000855,Phone_IVR,Status_Inquiry_WhereIsMyAccount,43,18.0
TCK-4000198,APP-1000861,Phone_IVR,Status_Inquiry_WhereIsMyAccount,16,18.0
TCK-4000199,APP-1000867,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000200,APP-1000869,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,9,12.0
TCK-4000201,APP-1000871,In_App_Chat,Status_Inquiry_WhereIsMyAccount,16,8.5
TCK-4000202,APP-1000876,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000203,APP-1000883,In_App_Chat,Status_Inquiry_WhereIsMyAccount,5,8.5
TCK-4000204,APP-1000886,In_App_Chat,Status_Inquiry_WhereIsMyAccount,38,8.5
TCK-4000205,APP-1000892,In_App_Chat,Status_Inquiry_WhereIsMyAccount,19,8.5
TCK-4000206,APP-1000895,In_App_Chat,Status_Inquiry_WhereIsMyAccount,26,8.5
TCK-4000207,APP-1000899,In_App_Chat,Status_Inquiry_WhereIsMyAccount,36,8.5
TCK-4000208,APP-1000903,In_App_Chat,Status_Inquiry_WhereIsMyAccount,28,8.5
TCK-4000209,APP-1000904,In_App_Chat,Status_Inquiry_WhereIsMyAccount,42,8.5
TCK-4000210,APP-1000906,Phone_IVR,Status_Inquiry_WhereIsMyAccount,29,18.0
TCK-4000211,APP-1000907,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000212,APP-1000913,Phone_IVR,Status_Inquiry_WhereIsMyAccount,22,18.0
TCK-4000213,APP-1000920,In_App_Chat,General_Clarification,44,8.5
TCK-4000214,APP-1000924,In_App_Chat,Status_Inquiry_WhereIsMyAccount,19,8.5
TCK-4000215,APP-1000928,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000216,APP-1000930,Phone_IVR,General_Clarification,41,18.0
TCK-4000217,APP-1000931,In_App_Chat,Status_Inquiry_WhereIsMyAccount,37,8.5
TCK-4000218,APP-1000932,In_App_Chat,Status_Inquiry_WhereIsMyAccount,35,8.5
TCK-4000219,APP-1000938,In_App_Chat,Status_Inquiry_WhereIsMyAccount,21,8.5
TCK-4000220,APP-1000939,In_App_Chat,Status_Inquiry_WhereIsMyAccount,39,8.5
TCK-4000221,APP-1000941,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000222,APP-1000946,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,16,12.0
TCK-4000223,APP-1000952,Email_Helpdesk,Document_Upload_Failure,25,12.0
TCK-4000224,APP-1000956,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000225,APP-1000957,In_App_Chat,Status_Inquiry_WhereIsMyAccount,28,8.5
TCK-4000226,APP-1000968,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000227,APP-1000980,Phone_IVR,Status_Inquiry_WhereIsMyAccount,11,18.0
TCK-4000228,APP-1001000,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,18,12.0
TCK-4000229,APP-1001005,In_App_Chat,Status_Inquiry_WhereIsMyAccount,29,8.5
TCK-4000230,APP-1001010,Phone_IVR,Status_Inquiry_WhereIsMyAccount,39,18.0
TCK-4000231,APP-1001012,In_App_Chat,Status_Inquiry_WhereIsMyAccount,23,8.5
TCK-4000232,APP-1001015,Email_Helpdesk,Document_Upload_Failure,36,12.0
TCK-4000233,APP-1001022,In_App_Chat,Status_Inquiry_WhereIsMyAccount,23,8.5
TCK-4000234,APP-1001023,In_App_Chat,Status_Inquiry_WhereIsMyAccount,24,8.5
TCK-4000235,APP-1001025,In_App_Chat,General_Clarification,11,8.5
TCK-4000236,APP-1001027,In_App_Chat,Status_Inquiry_WhereIsMyAccount,35,8.5
TCK-4000237,APP-1001032,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,31,12.0
TCK-4000238,APP-1001038,In_App_Chat,Status_Inquiry_WhereIsMyAccount,7,8.5
TCK-4000239,APP-1001040,Phone_IVR,Status_Inquiry_WhereIsMyAccount,5,18.0
TCK-4000240,APP-1001045,In_App_Chat,Status_Inquiry_WhereIsMyAccount,42,8.5
TCK-4000241,APP-1001051,In_App_Chat,Status_Inquiry_WhereIsMyAccount,36,8.5
TCK-4000242,APP-1001056,Email_Helpdesk,General_Clarification,36,12.0
TCK-4000243,APP-1001059,Phone_IVR,Status_Inquiry_WhereIsMyAccount,41,18.0
TCK-4000244,APP-1001060,Phone_IVR,Document_Upload_Failure,19,18.0
TCK-4000245,APP-1001062,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,8,12.0
TCK-4000246,APP-1001063,In_App_Chat,Status_Inquiry_WhereIsMyAccount,12,8.5
TCK-4000247,APP-1001066,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,28,12.0
TCK-4000248,APP-1001070,In_App_Chat,Status_Inquiry_WhereIsMyAccount,5,8.5
TCK-4000249,APP-1001074,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000250,APP-1001089,Phone_IVR,Status_Inquiry_WhereIsMyAccount,19,18.0
TCK-4000251,APP-1001097,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000252,APP-1001099,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000253,APP-1001100,Phone_IVR,Status_Inquiry_WhereIsMyAccount,27,18.0
TCK-4000254,APP-1001103,Phone_IVR,General_Clarification,9,18.0
TCK-4000255,APP-1001109,Phone_IVR,Status_Inquiry_WhereIsMyAccount,15,18.0
TCK-4000256,APP-1001117,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,41,12.0
TCK-4000257,APP-1001120,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000258,APP-1001123,In_App_Chat,Status_Inquiry_WhereIsMyAccount,11,8.5
TCK-4000259,APP-1001132,In_App_Chat,Status_Inquiry_WhereIsMyAccount,11,8.5
TCK-4000260,APP-1001133,In_App_Chat,Document_Upload_Failure,21,8.5
TCK-4000261,APP-1001139,In_App_Chat,Status_Inquiry_WhereIsMyAccount,32,8.5
TCK-4000262,APP-1001145,Phone_IVR,Status_Inquiry_WhereIsMyAccount,22,18.0
TCK-4000263,APP-1001149,In_App_Chat,Status_Inquiry_WhereIsMyAccount,38,8.5
TCK-4000264,APP-1001152,Phone_IVR,Status_Inquiry_WhereIsMyAccount,6,18.0
TCK-4000265,APP-1001160,In_App_Chat,Status_Inquiry_WhereIsMyAccount,36,8.5
TCK-4000266,APP-1001168,Phone_IVR,Status_Inquiry_WhereIsMyAccount,38,18.0
TCK-4000267,APP-1001170,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,25,12.0
TCK-4000268,APP-1001171,In_App_Chat,General_Clarification,30,8.5
TCK-4000269,APP-1001175,Phone_IVR,Status_Inquiry_WhereIsMyAccount,38,18.0
TCK-4000270,APP-1001182,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,36,12.0
TCK-4000271,APP-1001186,In_App_Chat,Status_Inquiry_WhereIsMyAccount,33,8.5
TCK-4000272,APP-1001189,In_App_Chat,Status_Inquiry_WhereIsMyAccount,30,8.5
TCK-4000273,APP-1001195,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,43,12.0
TCK-4000274,APP-1001201,In_App_Chat,Status_Inquiry_WhereIsMyAccount,31,8.5
TCK-4000275,APP-1001211,In_App_Chat,Status_Inquiry_WhereIsMyAccount,38,8.5
TCK-4000276,APP-1001218,Phone_IVR,Status_Inquiry_WhereIsMyAccount,31,18.0
TCK-4000277,APP-1001223,In_App_Chat,Status_Inquiry_WhereIsMyAccount,18,8.5
TCK-4000278,APP-1001226,In_App_Chat,Status_Inquiry_WhereIsMyAccount,40,8.5
TCK-4000279,APP-1001229,In_App_Chat,Status_Inquiry_WhereIsMyAccount,37,8.5
TCK-4000280,APP-1001233,Phone_IVR,Document_Upload_Failure,35,18.0
TCK-4000281,APP-1001237,Phone_IVR,Status_Inquiry_WhereIsMyAccount,13,18.0
TCK-4000282,APP-1001242,Phone_IVR,General_Clarification,34,18.0
TCK-4000283,APP-1001247,Phone_IVR,Status_Inquiry_WhereIsMyAccount,35,18.0
TCK-4000284,APP-1001251,In_App_Chat,Status_Inquiry_WhereIsMyAccount,42,8.5
TCK-4000285,APP-1001263,In_App_Chat,Status_Inquiry_WhereIsMyAccount,22,8.5
TCK-4000286,APP-1001267,In_App_Chat,Status_Inquiry_WhereIsMyAccount,17,8.5
TCK-4000287,APP-1001269,In_App_Chat,Document_Upload_Failure,28,8.5
TCK-4000288,APP-1001270,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,15,12.0
TCK-4000289,APP-1001272,In_App_Chat,General_Clarification,36,8.5
TCK-4000290,APP-1001275,In_App_Chat,General_Clarification,27,8.5
TCK-4000291,APP-1001276,Email_Helpdesk,Status_Inquiry_WhereIsMyAccount,28,12.0
TCK-4000292,APP-1001279,Phone_IVR,Status_Inquiry_WhereIsMyAccount,12,18.0
TCK-4000293,APP-1001286,In_App_Chat,Status_Inquiry_WhereIsMyAccount,38,8.5
